CIK,Ticker,Name,Exchange,SIC,Business,Incorporated,IRS
1069183,TASR,Taser International Inc,NASDAQ,3480.0,AZ,DE,860741227.0
809248,TAST,Carrols Restaurant Group Inc,NASDAQ,5812.0,NY,,161287774.0
1092289,TAT,Transatlantic Petroleum LTD,NYSE MKT,1382.0,TX,,
1528930,TAX,JTH Holding Inc,NASDAQ,7200.0,VA,DE,273561876.0
1000209,TAXI,Medallion Financial Corp,NASDAQ,6199.0,NY,DE,43291176.0
1025536,TAYC,Taylor Capital Group Inc,NASDAQ,6022.0,IL,DE,364108550.0
96536,TAYD,Taylor Devices Inc,NASDAQ,3569.0,NY,NY,160797789.0
869487,TBAC,Tandy Brands Accessories Inc,NASDAQ,2300.0,TX,DE,752349915.0
1295401,TBBK,Bancorp Inc,NASDAQ,6021.0,,,233016517.0
14803,TBI,Brown Tom Inc,NYSE,1311.0,TX,DE,951949781.0
768899,TBI,Trueblue Inc,NYSE,7363.0,WA,WA,911287341.0
1288750,TBLC,Timberline Resources Corp,NYSE MKT,1040.0,ID,DE,820291227.0
1447051,TBNK,Territorial Bancorp Inc,NASDAQ,6035.0,HI,MD,
1485933,TBOW,Trunkbow International Holdings LTD,NASDAQ,7372.0,F4,NV,
1415020,TC,Thompson Creek Metals Co Inc,NYSE,1000.0,CO,A1,
1144835,TCAHQ,Touch America Holdings Inc,NYSE ARCA,4813.0,MT,DE,810540231.0
1379785,TCAP,Triangle Capital Corp,NYSE,,NC,MD,61798488.0
814184,TCB,TCF Financial Corp,NYSE,6021.0,MN,DE,411591444.0
1077428,TCBI,Texas Capital Bancshares Inc,NASDAQ,6022.0,TX,,752679109.0
356171,TCBK,Trico Bancshares,NASDAQ,6022.0,CA,CA,942792841.0
1022438,TCC,Trammell Crow Co,NYSE,6510.0,TX,DE,752721454.0
96699,TCCO,Technical Communications Corp,NASDAQ,3663.0,MA,MA,42295040.0
855874,TCFC,Community Financial Corp,NASDAQ,6022.0,MD,MD,521652138.0
733590,TCI,Transcontinental Realty Investors Inc,NYSE,6798.0,TX,NV,946565852.0
890319,TCO,Taubman Centers Inc,NYSE,6798.0,MI,MI,382933632.0
1139570,TCOMOTCBB,Subaye Inc,NASDAQ,7374.0,CA,,352089848.0
1075607,TCP,TC Pipelines LP,NYSE,4922.0,TX,DE,522135448.0
1370755,TCPC,TCP Capital Corp,NASDAQ,,CA,DE,562594706.0
1464963,TCRD,THL Credit Inc,NASDAQ,,MA,DE,
1411688,TCS,Container Store Group Inc,NYSE,5700.0,TX,,260565401.0
1405082,TCW,Triplecrown Acquisition Corp,NYSE MKT,6770.0,WY,DE,200333311.0
909494,TCX,Tucows Inc,NASDAQ,7374.0,A6,PA,232707366.0
847015,TCXB,Medican Enterprises Inc,OTCBB,6799.0,NV,NV,870474017.0
816761,TDC,Teradata Corp,NYSE,3571.0,OH,,753236470.0
1282847,TDCB,Third Century Bancorp,OTCBB,6036.0,IN,,200857725.0
919893,TDF,Templeton Dragon Fund Inc,NYSE,,FL,MD,650473580.0
1260221,TDG,Transdigm Group Inc,NYSE,3728.0,OH,DE,510484716.0
1051512,TDS,Telephone & Data Systems Inc,NYSE,4813.0,IL,DE,362669023.0
98222,TDW,Tidewater Inc,NYSE,4400.0,LA,DE,720487776.0
1094285,TDY,Teledyne Technologies Inc,NYSE,3812.0,CA,DE,251843385.0
350563,TE,Teco Energy Inc,NYSE,4911.0,FL,FL,592052286.0
352049,TE,Toledo Edison Co,NYSE,4911.0,OH,OH,344375005.0
1314592,TEA,Teavana Holdings Inc,NYSE,5400.0,GA,,201946316.0
1299139,TEAR,Tearlab Corp,NASDAQ,3841.0,CA,DE,593434771.0
1131072,TEC,Teton Energy Corp,NASDAQ,1381.0,CO,DE,841482290.0
790703,TECD,Tech Data Corp,NASDAQ,5045.0,FL,FL,591578329.0
842023,TECH,Techne Corp,NASDAQ,2836.0,MN,MN,411427402.0
96831,TECUA,Tecumseh Products Co,NASDAQ,3585.0,MI,MI,381093240.0
916863,TEG,Integrys Energy Group Inc,NYSE,4931.0,IL,WI,391775292.0
909112,TEI,Templeton Emerging Markets Income Fund,NYSE,,FL,DE,593192205.0
1385157,TEL,Te Connectivity LTD,NYSE,5065.0,V8,V8,980518048.0
1109196,TELK,Telik Inc,NASDAQ,2834.0,CA,DE,930987903.0
1024725,TEN,Tenneco Inc,NYSE,3714.0,IL,DE,760515284.0
1569134,TEP,Tallgrass Energy Partners LP,NYSE,4922.0,KS,DE,461972941.0
97210,TER,Teradyne Inc,NYSE,3825.0,MA,MA,42272148.0
1336467,TES,American Telecom Services Inc,NYSE MKT,5065.0,CA,,
1022705,TESO,Tesco Corp,NASDAQ,3533.0,TX,,980053204.0
927355,TESS,Tessco Technologies Inc,NASDAQ,5065.0,MD,DE,520729657.0
97216,TEX,Terex Corp,NYSE,3537.0,CT,DE,341531521.0
861865,TF,Thai Capital Fund Inc,NYSE MKT,,PA,MD,223046513.0
895329,TFCO,Tufco Technologies Inc,NASDAQ,2670.0,WI,DE,391723477.0
1407384,TFDI,Film Department Holdings Inc,NASDAQ,7812.0,CA,,205277866.0
1414043,TFER,Titan Iron Ore Corp,OTCBB,7372.0,AZ,NV,980546715.0
1489979,TFM,Fresh Market Inc,NASDAQ,5411.0,NC,DE,561311233.0
1381668,TFSL,TFS Financial Corp,NASDAQ,6035.0,OH,DE,522054948.0
96943,TFX,Teleflex Inc,NYSE,3841.0,PA,DE,231147939.0
850429,TG,Tredegar Corp,NYSE,3350.0,VA,VA,541497771.0
1001614,TGC,Tengasco Inc,NYSE MKT,1311.0,TN,TN,870267438.0
799165,TGE,TGC Industries Inc,NASDAQ,1382.0,TX,TX,742095844.0
921114,TGEN,Ampliphi Biosciences Corp,NASDAQ,2836.0,VA,WA,911549568.0
1537435,TGEN,Tecogen Inc,NASDAQ,3585.0,MA,DE,43536131.0
1021162,TGI,Triumph Group Inc,NYSE,3720.0,PA,DE,510347963.0
1052284,TGLP,Tongli Pharmaceuticals USA Inc,OTCBB,2834.0,NY,DE,841090791.0
1534675,TGLS,Tecnoglass Inc,NASDAQ,3211.0,F8,E9,
1188303,TGN,Texas Genco Holdings Inc,NYSE,4911.0,,,760695920.0
27419,TGT,Target Corp,NYSE,5331.0,MN,MN,410215170.0
946115,TGT,Target Receivables Corp,NYSE,6189.0,MN,MN,411812153.0
1001316,TGTX,TG Therapeutics Inc,NASDAQ,2834.0,NY,DE,363898269.0
795551,TGX,Theragenics Corp,NYSE,3825.0,GA,DE,581528626.0
1408193,TGY,Tremisis Energy Acquisition Corp II,NYSE MKT,6770.0,TX,DE,260971890.0
70318,THC,Tenet Healthcare Corp,NYSE,8062.0,TX,NV,952557091.0
1210697,THE,Todco,NYSE,1381.0,TX,DE,760544217.0
714562,THFF,First Financial Corp,NASDAQ,6022.0,IN,IN,351546989.0
944695,THG,Hanover Insurance Group Inc,NYSE,6331.0,MA,DE,43263626.0
1345111,THI,Tim Hortons Inc,NYSE,5812.0,A6,A6,510370507.0
829323,THK,Inuvo Inc,NYSE MKT,7310.0,AR,NV,870450450.0
1183765,THLD,Threshold Pharmaceuticals Inc,NASDAQ,2834.0,CA,DE,943409596.0
1134115,THM,International Tower Hill Mines LTD,NYSE MKT,1000.0,A1,A1,
850660,THMD,Victor Technologies Group Inc,NASDAQ,3541.0,MO,DE,742482571.0
730263,THO,Thor Industries Inc,NYSE,3716.0,IN,DE,930768752.0
350907,THOR,Thoratec Corp,NASDAQ,3845.0,CA,CA,942340464.0
1489096,THR,Thermon Group Holdings Inc,NYSE,3620.0,TX,DE,272228185.0
921051,THRD,TF Financial Corp,NASDAQ,6036.0,PA,PA,742705050.0
1080014,THRX,Theravance Inc,NASDAQ,2834.0,CA,DE,943265960.0
1320695,THS,Treehouse Foods Inc,NYSE,2030.0,IL,DE,202311383.0
1564709,THST,Truett-hurst Inc,NASDAQ,2080.0,CA,DE,
1375686,THTI,THT Heat Transfer Technology Inc,NASDAQ,3443.0,F4,NV,205463509.0
1015293,THX,Houston Exploration Co,NYSE,1382.0,TX,DE,222674487.0
1085280,TIBX,Tibco Software Inc,NASDAQ,7372.0,CA,DE,770449727.0
1259429,TICC,Ticc Capital Corp,NASDAQ,,CT,MD,200118736.0
1045150,TIER,Official Payments Holdings Inc,NASDAQ,7389.0,GA,DE,943145844.0
98246,TIF,Tiffany & Co,NYSE,5944.0,NY,DE,133228013.0
820738,TIGR,Tigerlogic Corp,NASDAQ,7372.0,CA,DE,943046892.0
96885,TIK,Tel Instrument Electronics Corp,NYSE MKT,3670.0,NJ,NJ,221441806.0
1370433,TIL,Trans-india Acquisition Corp,NYSE MKT,6770.0,IL,DE,205063512.0
715787,TILE,Interface Inc,NASDAQ,2273.0,GA,GA,581451243.0
731939,TIN,Temple Inland Inc,NYSE,2631.0,TX,DE,751903917.0
893739,TINY,Harris & Harris Group Inc,NASDAQ,6799.0,NY,NY,133119827.0
1324189,TIS,Orchids Paper Products Co,NYSE MKT,2621.0,OK,DE,232956944.0
318833,TISI,Team Inc,NYSE,7600.0,TX,TX,741765729.0
845696,TISI,Lga Holdings Inc,NYSE,3790.0,CO,,841454605.0
1409171,TITN,Titan Machinery Inc,NASDAQ,5990.0,ND,DE,450357838.0
22551,TIV,Tri Valley Corp,NYSE MKT,1311.0,CA,DE,941585250.0
1088825,TIVO,Tivo Inc,NASDAQ,4841.0,CA,DE,770463167.0
109198,TJX,TJX Companies Inc,NYSE,5651.0,MA,DE,42207613.0
856218,TKF,Turkish Investment Fund Inc,NYSE,,MA,,232534466.0
98362,TKR,Timken Co,NYSE,3562.0,OH,OH,340577130.0
1006637,TKTM,Ticketmaster,NASDAQ,7990.0,CA,DE,954546874.0
317771,TLAB,Tellabs Inc,NASDAQ,3661.0,IL,DE,363831568.0
912263,TLB,Talbots Inc,NYSE,5621.0,MA,DE,411111318.0
1405197,TLCR,Talecris Biotherapeutics Holdings Corp,NASDAQ,2834.0,NC,DE,202533768.0
909724,TLF,Tandy Leather Factory Inc,NASDAQ,3100.0,TX,DE,752543540.0
1068963,TLI,LMP Corporate Loan Fund Inc,NYSE,,NY,MD,521568099.0
928659,TLL,Teletouch Communications Inc,NYSE ARCA,4812.0,TX,DE,752556090.0
1507615,TLLP,Tesoro Logistics LP,NYSE,4610.0,TX,DE,274151603.0
1361248,TLOG,Tetralogic Pharmaceuticals Corp,NASDAQ,2834.0,PA,DE,
1140028,TLON,Talon Therapeutics Inc,NYSE MKT,2834.0,CA,DE,320064979.0
1319229,TLP,Transmontaigne Partners LP,NYSE,4610.0,CO,DE,342037221.0
1524025,TLYS,Tillys Inc,NYSE,5600.0,CA,DE,452164791.0
892535,TMA,TMST Inc,NYSE,6798.0,NM,MD,850404134.0
755199,TMG,Transmontaigne Inc,NYSE,4610.0,CO,DE,61052062.0
1082754,TMH,Team Health Holdings Inc,NYSE,7363.0,TN,DE,364276525.0
1562476,TMHC,Taylor Morrison Home Corp,NYSE,1531.0,AZ,DE,900907433.0
320335,TMK,Torchmark Corp,NYSE,6311.0,TX,DE,630780404.0
1434589,TMMME,T3 Motion Inc,NYSE,3711.0,CA,DE,204987549.0
1094814,TMNG,Management Network Group Inc,NASDAQ,8742.0,KS,,481129619.0
97745,TMO,Thermo Fisher Scientific Inc,NYSE,3829.0,MA,DE,42209186.0
1005817,TMP,Tompkins Financial Corp,NYSE MKT,6022.0,NY,NY,161482357.0
912890,TMRK,Terremark Worldwide Inc,NASDAQ,4813.0,FL,DE,521989122.0
1491501,TMS,TMS International Corp,NYSE,3310.0,PA,DE,205899976.0
1097609,TMUS,Voicestream Wireless Corp,NYSE,4812.0,WA,DE,911983600.0
1283699,TMUS,T-mobile US Inc,NYSE,4812.0,WA,DE,200836269.0
1474439,TNAV,Telenav Inc,NASDAQ,3812.0,CA,DE,770521800.0
97134,TNC,Tennant Co,NYSE,3580.0,MN,MN,410572550.0
1438133,TNDM,Tandem Diabetes Care Inc,NASDAQ,3841.0,CA,DE,204327508.0
1368879,TNF,Tailwind Financial Inc,NYSE MKT,6770.0,A6,DE,
1093902,TNGO,Tango Inc,NASDAQ,7372.0,NY,FL,980198225.0
1182325,TNGO,Tangoe Inc,NASDAQ,7372.0,CT,DE,61571143.0
879575,TNH,Terra Nitrogen Co LP,NYSE,2870.0,IL,DE,731389684.0
1162139,TNH,CF Industries Enterprises Inc,NYSE,2800.0,IL,,421431650.0
1162145,TNH,CF Industries Sales LLC,NYSE,2870.0,IL,DE,721159610.0
1268671,TNS,TNS Inc,NYSE,7389.0,VA,,364430020.0
802257,TNTY,Trunity Holdings Inc,OTCBB,3669.0,MA,DE,
1298663,TNVAU,Clearpoint Business Resources Inc,NASDAQ,7363.0,PA,DE,
1046578,TOA,Tousa Inc,NYSE,1520.0,FL,DE,760460831.0
740942,TOBC,Tower Bancorp Inc,NASDAQ,6022.0,PA,PA,251445946.0
730349,TOF,Tofutti Brands Inc,NYSE MKT,2024.0,NJ,DE,133094658.0
107284,TOFC,Frederick Investments Williams,NASDAQ,,,,
1072847,TOFC,Tower Financial Corp,NASDAQ,6022.0,IN,IN,352051170.0
1402175,TOH,Hicks Acquisition Co I Inc,NYSE MKT,6770.0,TX,DE,208521842.0
794170,TOL,Toll Brothers Inc,NYSE,1531.0,PA,DE,232416878.0
1317872,TOMO,Tomotherapy Inc,NASDAQ,3845.0,WI,,
1362614,TONS,Symmetry Holdings Inc,NYSE MKT,9995.0,NY,DE,204790836.0
1382298,TOO,Teekay Offshore Partners LP,NYSE,4400.0,D0,1T,980512555.0
842295,TORM,Tor Minerals International Inc,NASDAQ,2810.0,TX,DE,742081929.0
1485469,TOWR,Tower International Inc,NYSE,3714.0,MI,DE,208879584.0
77543,TPC,Tutor Perini Corp,NYSE,1540.0,CA,MA,41717070.0
1091973,TPC,Suncom Wireless Holdings Inc,NYSE,4812.0,WA,DE,232974475.0
1452217,TPCG,TPC Group Inc,NASDAQ,2860.0,TX,DE,200863618.0
1283709,TPGI,Thomas Properties Group Inc,NYSE,6500.0,CA,DE,200852352.0
1561680,TPH,Tri Pointe Homes Inc,NYSE,1531.0,CA,,273201111.0
1362718,TPI,Tianyin Pharmaceutical Co Inc,NYSE MKT,2834.0,F4,DE,204857782.0
97517,TPL,Texas Pacific Land Trust,NYSE,6532.0,TX,,750279735.0
1281922,TPLM,Triangle Petroleum Corp,NYSE MKT,1311.0,CO,DE,980430762.0
1504167,TPND,Thompson Designs Inc,OTCBB,1700.0,CA,NV,593843182.0
1521013,TPNI,Pulse Network Inc,OTCBB,7372.0,MA,,454798356.0
1496443,TPNL,3pea International Inc,OTCBB,7389.0,NV,NV,954550154.0
1303565,TPO,Tarpon Industries Inc,NYSE MKT,3317.0,MI,MI,300030900.0
1535079,TPOI,Touchpoint Metrics Inc,OTCBB,7372.0,CA,,260030631.0
1576018,TPRE,Third Point Reinsurance LTD,NYSE,6331.0,D0,D0,
1206264,TPX,Tempur Sealy International Inc,NYSE,2510.0,KY,DE,331022198.0
1059280,TPZ,Topaz Group Inc,NYSE,3911.0,WA,NV,911762285.0
1408201,TPZ,Tortoise Power & Energy Infrastructure Fund Inc,NYSE,,KS,MD,260573018.0
913885,TQNT,Triquint Semiconductor Inc,NASDAQ,3674.0,OR,DE,953654013.0
98677,TR,Tootsie Roll Industries Inc,NYSE,2060.0,IL,VA,221318955.0
1333513,TRAK,Dealertrack Technologies Inc,NASDAQ,7373.0,NY,DE,522336218.0
1298521,TRBN,Trubion Pharmaceuticals Inc,NASDAQ,2834.0,WA,,
96869,TRC,Tejon Ranch Co,NYSE,6500.0,CA,DE,770196136.0
1343034,TRCB,Two River Bancorp,NASDAQ,6022.0,NJ,NJ,203700861.0
1431959,TRCH,Torchlight Energy Resources Inc,NASDAQ,1311.0,TX,NV,743237581.0
1173643,TRE,Tanzanian Royalty Exploration Corp,NYSE MKT,1040.0,A1,,
1096479,TREE,Lendingtree Inc,NASDAQ,7389.0,NC,,251795344.0
1434621,TREE,Treecom Inc,NASDAQ,6163.0,NC,DE,262414818.0
1069878,TREX,Trex Co Inc,NYSE,2400.0,VA,DE,541910453.0
930828,TRF,Templeton Russia & East European Fund Inc,NYSE,,FL,MD,650525725.0
1389170,TRGP,Targa Resources Corp,NYSE,4922.0,TX,DE,
1124105,TRGT,Targacept Inc,NASDAQ,2834.0,NC,,562020050.0
862510,TRH,Transatlantic Holdings Inc,NYSE,6331.0,NY,DE,133355897.0
1074771,TRI,Triad Hospitals Inc,NYSE,8062.0,TX,DE,752816101.0
1526520,TRIP,Tripadvisor Inc,NASDAQ,7370.0,MA,DE,800743202.0
934648,TRK,Speedway Motorsports Inc,NYSE,7948.0,NC,DE,510363307.0
1349454,TRLA,Trulia Inc,NYSE,7374.0,CA,DE,202958261.0
864749,TRMB,Trimble Navigation LTD,NASDAQ,3829.0,CA,CA,942802192.0
36146,TRMK,Trustmark Corp,NASDAQ,6021.0,MS,MS,640471500.0
1375796,TRMR,Tremor Video Inc,NYSE,7311.0,NY,DE,
99780,TRN,Trinity Industries Inc,NYSE,3743.0,TX,DE,750225040.0
1476150,TRNO,Terreno Realty Corp,NYSE,6500.0,CA,MD,
99302,TRNS,Transcat Inc,NASDAQ,3825.0,NY,OH,160874418.0
1492658,TRNX,Tornier NV,NASDAQ,3842.0,P7,P7,980509600.0
858629,TROV,Trover Solutions Inc,NASDAQ,6411.0,KY,DE,611141758.0
1213037,TROV,Trovagene Inc,NASDAQ,2836.0,CA,DE,43721895.0
1113169,TROW,Price T Rowe Group Inc,NASDAQ,6200.0,MD,MD,522264646.0
1530804,TROX,Tronox LTD,NYSE,2810.0,C3,,981026700.0
103096,TRR,TRC Companies Inc,NYSE,4955.0,CT,DE,60853807.0
842633,TRS,Trimas Corp,NASDAQ,3460.0,MI,DE,382687639.0
357301,TRST,Trustco Bank Corp N Y,NASDAQ,6022.0,NY,NY,141630287.0
732026,TRT,Trio Tech International,NYSE MKT,3559.0,CA,CA,952086631.0
1451512,TRTC,Terra Tech Corp,OTCBB,3510.0,CA,NV,263062661.0
86312,TRV,Travelers Companies Inc,NYSE,6331.0,MN,MN,410518860.0
1024124,TRV,Thousand Trails Inc,NYSE,7000.0,TX,DE,752138671.0
1429560,TRVN,Trevena Inc,NASDAQ,2834.0,PA,DE,
1267097,TRW,TRW Automotive Holdings Corp,NYSE,3714.0,MI,DE,810597059.0
1328910,TRX,Tronox Inc,NYSE MKT,2810.0,OK,DE,202868245.0
876378,TRXC,Transenterix Inc,OTCBB,6770.0,NC,DE,112962080.0
1161935,TRZ,Trizec Properties Inc,NYSE,6512.0,IL,DE,330387846.0
912262,TSA,Gart Sports Co,NYSE,5940.0,CO,DE,841242802.0
1046050,TSBK,Timberland Bancorp Inc,NASDAQ,6036.0,WA,WA,911863696.0
1380846,TSC,Tristate Capital Holdings Inc,NASDAQ,6022.0,pa,,204929029.0
916365,TSCO,Tractor Supply Co,NASDAQ,5200.0,TN,DE,133139732.0
1106644,TSET,China Pharma Holdings Inc,NYSE,2834.0,F4,DE,731564807.0
934538,TSH,Teche Holding Co,NYSE MKT,6022.0,LA,LA,721287456.0
809559,TSI,TCW Strategic Income Fund Inc,NYSE,,CA,MD,930939398.0
1382158,TSL,Trina Solar LTD,NYSE,3674.0,F4,F4,
1318605,TSLA,Tesla Motors Inc,NASDAQ,3711.0,CA,DE,912197729.0
1583001,TSLF,THL Credit Senior Loan Fund,NYSE,,NY,DE,
1092662,TSLU,Chembio Diagnostics Inc,NASDAQ,2834.0,NY,NV,880425691.0
100493,TSN,Tyson Foods Inc,NYSE,2015.0,AR,DE,710225165.0
50104,TSO,Tesoro Corp,NYSE,2911.0,TX,DE,950862768.0
1178711,TSPT,Transcept Pharmaceuticals Inc,NASDAQ,2834.0,CA,DE,330960223.0
889232,TSRA,Investor Ab,NASDAQ,,V7,,
1261694,TSRA,Tessera Technologies Inc,NASDAQ,3674.0,CA,DE,161620029.0
1299901,TSRE,Trade Street Residential Inc,NASDAQ,6798.0,FL,MD,134284187.0
98338,TSRI,TSR Inc,NASDAQ,7371.0,NY,DE,132635899.0
1491576,TSRO,Tesaro Inc,NASDAQ,2834.0,MA,DE,272249687.0
1356857,TSRX,Trius Therapeutics Inc,NASDAQ,2834.0,CA,DE,201320630.0
721683,TSS,Total System Services Inc,NYSE,7389.0,GA,GA,581493818.0
1080056,TST,Thestreet Inc,NASDAQ,2711.0,NY,DE,61515824.0
913665,TSTR,Terrestar Corp,NASDAQ,4899.0,VA,DE,930976127.0
1032462,TSY,Ff-tsy Holding Co II LLC,NYSE,6798.0,FL,MD,752687420.0
726561,TSYS,Telecommunications Systems Inc,NASDAQ,4813.0,SC,SC,570071126.0
1111665,TSYS,Telecommunication Systems Inc,NASDAQ,7372.0,MD,MD,521526369.0
737758,TTC,Toro Co,NYSE,3524.0,MN,DE,410580470.0
1013880,TTEC,Teletech Holdings Inc,NASDAQ,7363.0,CO,DE,841291044.0
